"name","description","genres"
"강우성","뮤직 에디터","댄스&일렉트로닉"
"강일권","웹진 [리드머] 편집장","랩&힙합-알앤비&소울"
"고종석","그루버스 COO / 대중음악평론가","메탈&하드코어,록-모던록,포크"
"공태희","OBS 제작1팀장","록-모던록"
"권석정","[로엔] 컨텐츠 제작 PD","재즈&크로스오버,재즈&크로스오버"
"권오성","대구MBC 음악감독 / DJ","포크"
"김광현","[재즈피플] 편집장","재즈&크로스오버"
"김봉현","대중음악평론가","랩&힙합-알앤비&소울"
"김봉환","벅스 컨텐츠기획","메탈&하드코어,록-모던록"
"김성대","[음악취향Y] 필진/음악평론가","메탈&하드코어,록-모던록"
"김성환","음악칼럼니스트","메탈&하드코어,댄스&일렉트로닉,팝,포크"
"김영대","음악평론가","팝"
"김윤하","대중음악평론가","댄스&일렉트로닉,팝"
"김이슬","벅스 컨텐츠기획","랩&힙합-알앤비&소울"
"김작가","대중음악평론가","록-모던록"
"김창남","성공회대 교수",""
"김학선","웹진 [보다] 편집장","메탈&하드코어,록-모던록"
"김현준","재즈비평가","재즈&크로스오버"
"김홍범","KBS 라디오 PD","록-모던록"
"나도원","음악평론가","메탈&하드코어,록-모던록"
"남성훈","흑인음악칼럼니스트","랩&힙합-알앤비&소울"
"문정호","대중음악평론가","랩&힙합-알앤비&소울"
"민일홍","KBS 라디오 PD","댄스&일렉트로닉,팝"
"민정홍","EBS 편성기획부 PD","재즈&크로스오버"
"박병운","[음악취향Y] 필진","록-모던록,메탈&하드코어"
"박은석","대중음악평론가","록-모던록"
"박정용","벨로주(veloso) 대표","포크,재즈&크로스오버"
"박준우","음악칼럼니스트","댄스&일렉트로닉,팝"
"박준흠","사운드네트워크(주) 대표이사","록-모던록"
"박현준","경인방송 PDJ","록-모던록,메탈&하드코어"
"배순탁","대중음악평론가","록-모던록"
"서정민갑","대중음악의견가","재즈&크로스오버,포크,메탈&하드코어"
"성우진","대중음악평론가","록-모던록,메탈&하드코어"
"송명하","[파라노이드] 편집장","록-모던록,메탈&하드코어"
"신현준","성공회대 교수","포크,팝"
"안병진","경인방송 라디오 PD","팝,댄스&일렉트로닉"
"유정훈","온라인 샵 [뮤직랜드] 컨텐츠 팀장","팝,댄스&일렉트로닉"
"이경준","대중음악평론가","록-모던록,메탈&하드코어"
"이대화","대중음악평론가","팝,댄스&일렉트로닉"
"이대희","[프레시안] 기자","팝,포크"
"이민희","음악칼럼니스트","록-모던록"
"이병주","웹진 [리드머] 필진","랩&힙합-알앤비&소울"
"이종민","대중음악평론가","팝,댄스&일렉트로닉"
"이태훈","대중음악평론가","포크,재즈&크로스오버"
"이혜진","EBS 스페이스 공감 PD","댄스&일렉트로닉,팝"
"임희윤","[동아일보] 기자","록-모던록"
"정구원","웹진 [weiv] 에디터","포크,댄스&일렉트로닉"
"정병욱","[음악취향Y] 필진","팝"
"정원석","음악평론가","팝,댄스&일렉트로닉"
"정진영","웹진 [이명] 필자","록-모던록,메탈&하드코어"
"조원희","대중음악평론가","팝,댄스&일렉트로닉"
"조일동","[음악취향Y] 편집장","재즈&크로스오버,메탈&하드코어"
"최규성","대중문화평론가","록-모던록"
"최규용","Radio KISS PD / 재즈 칼럼니스트","재즈&크로스오버"
"최민우","대중음악평론가","팝,댄스&일렉트로닉"
"최성욱","웹진 [weiv] 에디터","재즈&크로스오버"
"최승우","월간 PAPER 객원 에디터","재즈&크로스오버"
"최지선","대중음악평론가","팝,포크"
"최지호","[음악취향Y] 필진","포크,록-모던록"
"한동윤","대중음악평론가","랩&힙합-알앤비&소울"
"한명륜","대중음악평론가","록-모던록,메탈&하드코어"
"현지운","음악평론가","팝,포크"
"홍지민","[서울신문] 기자","록-모던록,메탈&하드코어"
